id;latitude;longitude;genera_plant;genera_plan_ver;sp_plant;author_plant;sp_plant_ver;author_plant_ver;subfamily;genera_floralvisitor;genera_floralvisitor_ver;sp_floralvisitor;author_floralvisitor;sp_floralvisitor_ver;author_floralvisitor_ver;pollinator_group;bodypolendeposition;behaviour;relativefrequency
809;-22,51;-42,26;Symphonia;Symphonia;globulifera;L.f.;globulifera;L.f.;;Leontopithecus;Leontopithecus;Leontopithecus rosalia;Linnaeus;Leontopithecus rosalia;(Linnaeus, 1766);monkey;NA;NA;NA
843;-19,83;-41,83;Mabea;Mabea;fistulifera;Mart;fistulifera;Mart.;Atelinae;Brachyteles;Brachyteles;Brachyteles arachnoides;E Geoffroy;Brachyteles arachnoides;(É. Geoffroy, 1806);monkey;hea;p;NA
843;-19,83;-41,83;Mabea;Mabea;fistulifera;Mart;fistulifera;Mart.;Atelinae;Brachyteles;Brachyteles;Brachyteles arachnoides;E Geoffroy;Brachyteles arachnoides;(É. Geoffroy, 1806);monkey;lim;p;NA
843;-19,83;-41,83;Mabea;Mabea;fistulifera;Mart;fistulifera;Mart.;Atelinae;Brachyteles;Brachyteles;Brachyteles arachnoides;E Geoffroy;Brachyteles arachnoides;(É. Geoffroy, 1806);monkey;muz;p;NA
845;-19,83;-41,83;Mabea;Mabea;fistulifera;Mart;fistulifera;Mart.;;Callithrix;Callithrix;Callithrix flaviceps;(Thomas, 1903);Callithrix flaviceps;(Thomas, 1903);monkey;hea;p;NA
845;-19,83;-41,83;Mabea;Mabea;fistulifera;Mart;fistulifera;Mart.;;Callithrix;Callithrix;Callithrix flaviceps;(Thomas, 1903);Callithrix flaviceps;(Thomas, 1903);monkey;lim;p;NA
845;-19,83;-41,83;Mabea;Mabea;fistulifera;Mart;fistulifera;Mart.;;Callithrix;Callithrix;Callithrix flaviceps;(Thomas, 1903);Callithrix flaviceps;(Thomas, 1903);monkey;muz;p;NA
2110;-15,33;-39,08;Manilkara;Manilkara;sp.;na;sp.;Adans.;;Callithrix;Callithrix;Callithrix kuhli;(Wied-Neuwwied, 1826);Callithrix kuhlii;Coimbra-Filho, 1985;monkey;NA;NA;NA
2111;-15,33;-39,08;Symphonia;Symphonia;globulifera;na;globulifera;L.f.;;Callithrix;Callithrix;Callithrix kuhli;(Wied-Neuwwied, 1826);Callithrix kuhlii;Coimbra-Filho, 1985;monkey;NA;l;NA
2112;-15,33;-39,08;Symphonia;Symphonia;globulifera;na;globulifera;L.f.;;Leontopithecus;Leontopithecus;Leontopithecus chrysomelas;NA;Leontopithecus chrysomelas;(Kuhl, 1820);monkey;NA;l;NA
3128;-19,72;-41,81;Mabea;Mabea;fistulifera;Mart.;fistulifera;Mart.;Atelinae;Brachyteles;Brachyteles;Brachyteles hypoxanthus;(Kuhl, 1820);Brachyteles hypoxanthus;(Kuhl, 1820);monkey;bil;NA;NA
846;-19,83;-41,83;Mabea;Mabea;fistulifera;Mart;fistulifera;Mart.;;Caluromys;Caluromys;Caluromys philander;NA;Caluromys philander;(Linnaeus, 1758);opossum;NA;p;NA
2740;-20,75;-42,85;Mabea;Mabea;fistulifera;Mart.;fistulifera;Mart.;;Didelphis;Didelphis;Didelphis marsupialis;Linnaeus;Didelphis marsupialis;Linnaeus, 1758;opossum;muz;p;NA
