id;latitude;longitude;genera_plant;genera_plan_ver;sp_plant;author_plant;sp_plant_ver;author_plant_ver;subfamily;genera_floralvisitor;genera_floralvisitor_ver;sp_floralvisitor;author_floralvisitor;sp_floralvisitor_ver;author_floralvisitor_ver;pollinator_group;bodypolendeposition;behaviour;relativefrequency
2481;-23,35;-48,77;Inga;Inga;affinis;DC.;vera subsp. affinis;(DC.) T.D.Penn.;Glossophaginae;Anoura;Anoura;Anoura caudifer;(E. Geoffroy, 1818);Anoura caudifer;(É. Geoffroy, 1818);bat;che;p;0.06
2481;-23,35;-48,77;Inga;Inga;affinis;DC.;vera subsp. affinis;(DC.) T.D.Penn.;Glossophaginae;Anoura;Anoura;Anoura caudifer;(E. Geoffroy, 1818);Anoura caudifer;(É. Geoffroy, 1818);bat;win;p;0.06
2482;-23,35;-48,77;Inga;Inga;affinis;DC.;vera subsp. affinis;(DC.) T.D.Penn.;Glossophaginae;Glossophaga;Glossophaga;Glossophaga soricina;(Pallas, 1766);Glossophaga soricina;(Pallas, 1766);bat;bel;p;0.06
2482;-23,35;-48,77;Inga;Inga;affinis;DC.;vera subsp. affinis;(DC.) T.D.Penn.;Glossophaginae;Glossophaga;Glossophaga;Glossophaga soricina;(Pallas, 1766);Glossophaga soricina;(Pallas, 1766);bat;che;p;0.06
2482;-23,35;-48,77;Inga;Inga;affinis;DC.;vera subsp. affinis;(DC.) T.D.Penn.;Glossophaginae;Glossophaga;Glossophaga;Glossophaga soricina;(Pallas, 1766);Glossophaga soricina;(Pallas, 1766);bat;win;p;0.06
2483;-23,35;-48,77;Inga;Inga;affinis;DC.;vera subsp. affinis;(DC.) T.D.Penn.;Glossophaginae;NA;NA;sp. 1;NA;sp. 1;NA;bat;bel;p;0.88
2483;-23,35;-48,77;Inga;Inga;affinis;DC.;vera subsp. affinis;(DC.) T.D.Penn.;Glossophaginae;NA;NA;sp. 1;NA;sp. 1;NA;bat;che;p;0.88
2483;-23,35;-48,77;Inga;Inga;affinis;DC.;vera subsp. affinis;(DC.) T.D.Penn.;Glossophaginae;NA;NA;sp. 1;NA;sp. 1;NA;bat;win;p;0.88
2484;-23,35;-48,77;Marcgravia;Marcgravia;polyantha;Delpino;polyantha;Delpino;Glossophaginae;Anoura;Anoura;Anoura caudifer;(E. Geoffroy, 1818);Anoura caudifer;(É. Geoffroy, 1818);bat;bel;p;0.33
2484;-23,35;-48,77;Marcgravia;Marcgravia;polyantha;Delpino;polyantha;Delpino;Glossophaginae;Anoura;Anoura;Anoura caudifer;(E. Geoffroy, 1818);Anoura caudifer;(É. Geoffroy, 1818);bat;che;p;0.33
2484;-23,35;-48,77;Marcgravia;Marcgravia;polyantha;Delpino;polyantha;Delpino;Glossophaginae;Anoura;Anoura;Anoura caudifer;(E. Geoffroy, 1818);Anoura caudifer;(É. Geoffroy, 1818);bat;sho;p;0.33
2484;-23,35;-48,77;Marcgravia;Marcgravia;polyantha;Delpino;polyantha;Delpino;Glossophaginae;Anoura;Anoura;Anoura caudifer;(E. Geoffroy, 1818);Anoura caudifer;(É. Geoffroy, 1818);bat;win;p;0.33
2485;-23,35;-48,77;Marcgravia;Marcgravia;polyantha;Delpino;polyantha;Delpino;Glossophaginae;NA;NA;sp. 1;NA;sp. 1;NA;bat;bel;p;0.67
2485;-23,35;-48,77;Marcgravia;Marcgravia;polyantha;Delpino;polyantha;Delpino;Glossophaginae;NA;NA;sp. 1;NA;sp. 1;NA;bat;chi;p;0.67
2485;-23,35;-48,77;Marcgravia;Marcgravia;polyantha;Delpino;polyantha;Delpino;Glossophaginae;NA;NA;sp. 1;NA;sp. 1;NA;bat;sho;p;0.67
